Ticker,Date
OXY,2025-09-02
AMZN,2025-09-02
GOOGL,2025-09-02
COST,2025-09-02
CB,2025-09-02
AI,2025-09-02
ENTG,2025-09-02
PANW,2025-09-02
NVDA,2025-09-02
TSLA,2025-09-02
AXP,2025-09-02
COIN,2025-09-02
CDNS,2025-09-02
ARM,2025-09-02
QCOM,2025-09-02
ASML,2025-09-02
WPM,2025-09-02
TER,2025-09-02
APP,2025-09-02
TSMC,2025-09-02
TSLA,2025-10-01
GOOG,2025-10-01
AMZN,2025-10-01
COIN,2025-10-01
NVDA,2025-10-01
ARM,2025-10-01
OXY,2025-10-01
MSTR,2025-10-01
RIO,2025-10-01
FCX,2025-10-01
SCCO,2025-10-01
GLEN,2025-10-01
NEM,2025-10-01
ANTO,2025-10-01
VALE,2025-10-01
MP,2025-10-01
SQM,2025-10-01
OKE,2025-11-03
TTD,2025-11-03
PCG,2025-11-03
COIN,2025-11-03
NVDA,2025-11-03
GDDY,2025-11-03
OXY,2025-11-03
MSTR,2025-11-03
META,2025-11-03
BMNR,2025-11-03
CLNX,2025-11-03
CTRA,2025-11-03
MA,2025-11-03
VG,2025-11-03
LNG,2025-11-03
DVN,2025-11-03
SW,2025-11-03
HDB,2025-11-03
SE,2025-11-03
MP,2025-11-03
NVDA,2025-12-01
AMZN,2025-12-01
BMNR,2025-12-01
META,2025-12-01
HDB,2025-12-01
TSLA,2025-12-01
CCJ,2025-12-01
TAC,2025-12-01
DLR,2025-12-01
RIO,2025-12-01
SLB,2025-12-01
VG,2025-12-01
LNG,2025-12-01
ETN,2025-12-01
MTDR,2025-12-01
PCG,2025-12-01
PBR,2025-12-01
IREN,2025-12-01
AGI,2025-12-01
WPM,2025-12-01
OLLI,2026-01-03
BJ,2026-01-03
GO,2026-01-03
ACI,2026-01-03
MNSO,2026-01-03
AMZN,2026-01-03
MELI,2026-01-03
CPNG,2026-01-03
JD,2026-01-03
PDD,2026-01-03
GLBE,2026-01-03
HDB,2026-01-03
IBN,2026-01-03
LNG,2026-01-03
CTRA,2026-01-03
MTDR,2026-01-03
PCG,2026-01-03
ETN,2026-01-03
IREN,2026-01-03
BMNR,2026-01-03
RGTI,2026-02-02
IONQ,2026-02-02
ARM,2026-02-02
IREN,2026-02-02
BMNR,2026-02-02
TAC,2026-02-02
CEG,2026-02-02
OKE,2026-02-02
TLW,2026-02-02
ORCL,2026-02-02
CRM,2026-02-02
ZS,2026-02-02
TRMB,2026-02-02
FUTR,2026-02-02
MP,2026-02-02
WPM,2026-02-02
SSRM,2026-02-02
BVN,2026-02-02
AMD,2026-02-02
TSLA,2026-02-02
AMZN,2026-03-02
ORCL,2026-03-02
SOFI,2026-03-02
CEG,2026-03-02
ANET,2026-03-02
ZS,2026-03-02
BMNR,2026-03-02
COIN,2026-03-02
PANW,2026-03-02
LNG,2026-03-02
MP,2026-03-02
V,2026-03-02
TRMB,2026-03-02
CTVA,2026-03-02
ETN,2026-03-02
TW,2026-03-02
SCCO,2026-03-02
VST,2026-03-02
OKLO,2026-03-02
AMPX,2026-03-02
CVX,2026-04-01
INTC,2026-04-01
MP,2026-04-01
USAR,2026-04-01
TA,2026-04-01
AEM,2026-04-01
PANW,2026-04-01
COPX,2026-04-01
FCX,2026-04-01
ANA,2026-04-01
KHC,2026-04-01
NXT,2026-04-01
LW,2026-04-01
CEG,2026-04-01
VRT,2026-04-01
V,2026-04-01
DE,2026-04-01
OLLI,2026-04-01
AGI,2026-04-01
BX,2026-04-01
USAR,2026-05-01
OKLO,2026-05-01
IONQ,2026-05-01
AMZN,2026-05-01
CEG,2026-05-01
XYL,2026-05-01
MWA,2026-05-01
VST,2026-05-01
CCJ,2026-05-01
EQT,2026-05-01
FCX,2026-05-01
COIN,2026-05-01
MP,2026-05-01
AEM,2026-05-01
CVX,2026-05-01
BX,2026-05-01
VRT,2026-05-01
WPM,2026-05-01
AGI,2026-05-01
DE,2026-05-01
