User Ticker,Resolved Ticker,Currency
TSLA,NASDAQ:TSLA,USD
AMZN,NASDAQ:AMZN,USD
BMNR,AMEX:BMNR,USD
HOOD,NASDAQ:HOOD,USD
NVDA,NASDAQ:NVDA,USD
GOOG,NASDAQ:GOOG,USD
XYZ,N/A,USD
IRDM,NASDAQ:IRDM,USD
MTDR,NYSE:MTDR,USD
LNG,NYSE:LNG,USD
TAC,NYSE:TAC,USD
IREN,NASDAQ:IREN,USD
BE,NYSE:BE,USD
CCJ,NYSE:CCJ,USD
AEM,NYSE:AEM,USD
MP,NYSE:MP,USD
WPM,NYSE:WPM,USD
FCX,NYSE:FCX,USD
SCCO,NYSE:SCCO,USD
BHP,NYSE:BHP,USD
VALE,NYSE:VALE,USD
HBM,NYSE:HBM,USD
ABT,NYSE:ABT,USD
KHC,NASDAQ:KHC,USD
KMB,NYSE:KMB,USD
V,NYSE:V,USD
COIN,NASDAQ:COIN,USD
HDB,NYSE:HDB,USD
IBN,NYSE:IBN,USD
EQIX,NASDAQ:EQIX,USD
VICI,NYSE:VICI,USD
SPG,NYSE:SPG,USD
GEV,N/A,USD
CEG,NASDAQ:CEG,USD
TRMB,NASDAQ:TRMB,USD
EMR,NYSE:EMR,USD
ADM,NYSE:ADM,USD
URI,NYSE:URI,USD
