Ticker,Amount,Date,Action
TSLA,34,2026-02-13,BUY
AMZN,34,2026-02-13,BUY
BMNR,34,2026-02-13,BUY
HOOD,34,2026-02-13,BUY
NVDA,34,2026-02-13,BUY
GOOG,34,2026-02-13,BUY
XYZ,34,2026-02-13,BUY
IRDM,34,2026-02-13,BUY
MTDR,17,2026-02-13,BUY
LNG,17,2026-02-13,BUY
TAC,17,2026-02-13,BUY
IREN,17,2026-02-13,BUY
BE,16,2026-02-13,BUY
CCJ,15,2026-02-13,BUY
AEM,6.5,2026-02-13,BUY
MP,6.5,2026-02-13,BUY
WPM,6.5,2026-02-13,BUY
FCX,6.5,2026-02-13,BUY
SCCO,6.5,2026-02-13,BUY
BHP,6.5,2026-02-13,BUY
VALE,6.5,2026-02-13,BUY
HBM,6.5,2026-02-13,BUY
ABT,20,2026-02-13,BUY
KHC,20,2026-02-13,BUY
KMB,20,2026-02-13,BUY
V,13,2026-02-13,BUY
COIN,13,2026-02-13,BUY
HDB,15,2026-02-13,BUY
IBN,10,2026-02-13,BUY
EQIX,8,2026-02-13,BUY
VICI,8,2026-02-13,BUY
SPG,8,2026-02-13,BUY
GEV,17,2026-02-13,BUY
CEG,17,2026-02-13,BUY
TRMB,13,2026-02-13,BUY
EMR,13,2026-02-13,BUY
ADM,13,2026-02-13,BUY
URI,13,2026-02-13,BUY
