"DemoPositionID","Instrument","InstrumentCurrency","BuySell","Amount","InitialMargin","OpenTime","CloseTime","DurationInMin","OpenRate","CloseRate","OpenValue","CloseValue","GrossPLInUserCurrency","OvernightFundingInUserCurrency","AdjustmentsInUserCurrency","NetPLInUserCurrency","CloseReason","CurrencyConversionFeeAmountInUserCurrency"
"1782466702","Amazon","USD","Buy","40.0000","1215.06","02/04/2025 18:45:38","22/08/2025 15:07:58","204262.34","197.120000","223.380000","7884.8","8935.2","778.86","-482.82","0","294.08","MarketClosed","-1.97"
"1778604692","Amazon","USD","Buy","40.0000","1216.29","12/03/2025 15:01:29","22/08/2025 15:07:52","234666.39","196.870000","223.220000","7874.8","8928.8","781.59","-550.41","0","229.65","MarketClosed","-1.54"
"1782466355","Tesla","USD","Buy","28.0000","1220.35","02/04/2025 18:44:28","22/08/2025 15:07:49","204263.36","282.840000","332.100000","7919.52","9298.8","1022.81","-626.31","0","393.87","MarketClosed","-2.64"
"1790383858","Palantir Technologies","USD","Buy","60.0000","1134.5","05/05/2025 17:43:01","22/08/2025 15:07:47","156804.77","125.480000","156.450000","7528.8","9387","1377.93","-382.85","0","988.46","MarketClosed","-6.62"
"1790383759","Tesla","USD","Buy","28.5000","1201.04","05/05/2025 17:42:31","22/08/2025 15:07:44","156805.22","279.710000","331.800000","7971.73","9456.3","1100.95","-513.31","0","583.74","MarketClosed","-3.91"
"1790384027","Amazon","USD","Buy","43.0000","1218.17","05/05/2025 17:43:48","22/08/2025 15:07:42","156803.90","188.040000","223.250000","8085.72","9599.75","1122.77","-414.17","0","703.9","MarketClosed","-4.72"
"1790384093","Alphabet (Google)","USD","Buy","48.0000","1210.53","05/05/2025 17:44:05","22/08/2025 15:07:39","156803.57","167.400000","202.880000","8035.2","9738.24","1263.1","-386.25","7.44","878.41","MarketClosed","-5.89"
"1790384222","Intel","USD","Buy","400.0000","1229.21","05/05/2025 17:44:38","22/08/2025 15:07:37","156802.97","20.400000","24.350000","8160","9740","1171.86","-384.16","0","782.46","MarketClosed","-5.24"
"1782466770","Alphabet (Google)","USD","Buy","49.0000","1207.1","02/04/2025 18:45:50","22/08/2025 15:07:34","204261.73","159.860000","202.900000","7833.14","9942.1","1564.27","-498.18","7.6","1066.56","MarketClosed","-7.15"
"1778604838","Alphabet (Google)","USD","Buy","50.0000","1291.28","12/03/2025 15:01:44","22/08/2025 15:07:31","234665.79","167.200000","202.810000","8360","10140.5","1320.6","-579.01","7.75","744.36","MarketClosed","-4.99"
"1790383906","Coinbase","USD","Buy","40.0000","1212.44","05/05/2025 17:43:17","22/08/2025 15:07:28","156804.19","201.170000","306.360000","8046.8","12254.4","3120.71","-687.79","0","2416.75","MarketClosed","-16.18"
"1782466962","AMD","USD","Buy","76.5000","1220.96","02/04/2025 18:46:30","22/08/2025 15:07:26","204260.93","103.560000","165.600000","7922.34","12668.4","3520.16","-569.13","0","2931.41","MarketClosed","-19.63"
"1782466534","Coinbase","USD","Buy","43.0000","1207.68","02/04/2025 18:45:08","22/08/2025 15:07:02","204261.90","182.260000","306.810000","7837.18","13192.83","3971.5","-872","0","3078.89","MarketClosed","-20.62"
"1782466479","Palantir Technologies","USD","Buy","90.0000","1221.44","02/04/2025 18:44:56","22/08/2025 15:06:58","204262.04","88.070000","156.730000","7926.3","14105.7","4582.59","-865.7","0","3692.18","MarketClosed","-24.72"
